1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810164281821,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (PINK &,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (WILD CH,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810164281784,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (STRAWBE,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810125438394,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (MIAMI M,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810164281807,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (STRAWBE,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810125438356,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (SOUR FC,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (COOL MI,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810125438417,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (BLUE RA,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810164283214,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (BLUEBER,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (WATERME,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Vapor Products,ECIG,N/A,,IL,810125439933,BOX,Geek Bar Pulse X 25k Puffs Disposable 5ct (BLACKBE,Geek Bar,,Geek Bar,5,BOX,,57.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,739406441956,BOX,Backwoods Twist Battery 1100Mah Display 30Ct,Backwoods,,Backwoods,30,BOX,,75.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,850056139748,BOX,Half Bak'd Delta-9 Sumo 10000Mg Gummies 2pk 30ct G,Half Bak'd,,Half Bak'd,30,BOX,,47.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,850049202244,BOX,Half Bak'd Delta-9 Sumo 10000Mg Gummies 2pk 30ct G,Half Bak'd,,Half Bak'd,30,BOX,,47.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,850056140522,BOX,Half Bak'd Delta-9 Sumo 10000Mg Gummies 2pk 30ct G,Half Bak'd,,Half Bak'd,30,BOX,,47.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,721750434531,ECH,Road Trip Desert Stardust Mushroom Gummies 8ct (SU,Road Trip,,Road Trip,8,ECH,,11.99,10
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,608539145942,ECH,Road Trip Desert Stardust Mushroom Gummies 8ct (GR,Road Trip,,Road Trip,8,ECH,,11.99,10
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,721750110497,BOX,Road Trip Desert Stardust Mushroom Gummies 2pk 30c,Road Trip,,Road Trip,30,BOX,,120.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,721750344366,BOX,Road Trip Desert Stardust Mushroom Gummies 2pk 30c,Road Trip,,Road Trip,30,BOX,,120.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,140316732209,JAR,Flying Horse THC-P Blend 96000MG Gummies 80Ct Jar,Flying Horse,,Flying Horse,80,JAR,,89.99,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,643985607002,BOX,Double Stacked Bitez D9+THC-A 2000mg Gummies 2pk 6,Double Stacked Bitez,,Double Stacked Bitez,60,BOX,,125.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,740111141390,BOX,Double Stacked Bitez D9+THC-A 2000mg Gummies 2pk 6,Double Stacked Bitez,,Double Stacked Bitez,60,BOX,,125.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,850067312857,BOX,Chapo Double Stacks THC-P+D9+D8 60000mg Gummies 2p,Chapo,,Chapo,30,BOX,,62.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,850074821762,BOX,Chapo Double Stacks THC-P+D9+D8 60000mg Gummies 2p,Chapo,,Chapo,30,BOX,,62.50,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,810121209622,ECH,Mellow Fellow Delta-8 2g Disposables *PP$19.99* (A,Mellow Fellow,,Mellow Fellow,1,ECH,,9.50,6
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,810167760705,ECH,Mellow Fellow Delta-8 2g Disposables *PP$19.99* (W,Mellow Fellow,,Mellow Fellow,1,ECH,,9.50,6
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,810121206560,ECH,Mellow Fellow Delta-8 2g Disposables *PP$19.99* (P,Mellow Fellow,,Mellow Fellow,1,ECH,,9.50,6
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,810121200483,ECH,Mellow Fellow Delta-8 1g Cartridges *PP$9.99* (BLU,Mellow Fellow,,Mellow Fellow,1,ECH,,4.50,6
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,810121206935,ECH,Mellow Fellow Delta-8 1g Cartridges *PP$9.99* (SOU,Mellow Fellow,,Mellow Fellow,1,ECH,,4.50,6
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,810121200537,ECH,Mellow Fellow Delta-8 1g Cartridges *PP$9.99* (ZKI,Mellow Fellow,,Mellow Fellow,1,ECH,,4.50,6
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,726597634427,ECH,Faded THC-P + CB9A 2.5ml Disposable (HOLY GRAIL KU,Faded,,Faded,1,ECH,,6.99,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,726597634380,ECH,Faded THC-P + CB9A 2.5ml Disposable (RED POP),Faded,,Faded,1,ECH,,6.99,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,726597634335,ECH,Faded THC-P + CB9A 2.5ml Disposable (BLUCIFER),Faded,,Faded,1,ECH,,6.99,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,628964875818,ECH,Flying Horse Wild N' Black Edition 3N1 9g Disposab,Flying Horse,,Flying Horse,1,ECH,,16.50,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,628978548364,ECH,Flying Horse Wild N' Black Edition 3N1 9g Disposab,Flying Horse,,Flying Horse,1,ECH,,16.50,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,628963748199,ECH,Flying Horse Wild N' Black Edition 3N1 9g Disposab,Flying Horse,,Flying Horse,1,ECH,,16.50,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,850062012844,ECH,Half Bak'd Sumo Rosin Blend 5g Disposable (BUTTER,Half Bak'd,,Half Bak'd,1,ECH,,15.75,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768631,ECH,Muha Meds Live Resin THC-P/HHC-P/HHC 3.5G Disposab,Muha Meds,,Muha Meds,1,ECH,,14.00,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768594,ECH,Muha Meds Live Resin THC-P/HHC-P/HHC 3.5G Disposab,Muha Meds,,Muha Meds,1,ECH,,14.00,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768600,ECH,Muha Meds Live Resin THC-P/HHC-P/HHC 3.5G Disposab,Muha Meds,,Muha Meds,1,ECH,,14.00,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768396,ECH,Muha Meds THCA Melted Diamonds 3.5g Disposable (RU,Muha Meds,,Muha Meds,1,ECH,,14.00,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768389,ECH,Muha Meds THCA Melted Diamonds 3.5g Disposable (SO,Muha Meds,,Muha Meds,1,ECH,,14.00,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768624,ECH,Muha Meds Live Resin THC-P/HHC-P/HHC 3.5G Disposab,Muha Meds,,Muha Meds,1,ECH,,14.00,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768617,ECH,Muha Meds Live Resin THC-P/HHC-P/HHC 3.5G Disposab,Muha Meds,,Muha Meds,1,ECH,,14.00,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768402,ECH,Muha Meds THCA Melted Diamonds 3.5g Disposable (KE,Muha Meds,,Muha Meds,1,ECH,,14.00,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768426,ECH,Muha Meds THCA Melted Diamonds 3.5g Disposable (SU,Muha Meds,,Muha Meds,1,ECH,,14.00,5
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,648564768419,ECH,Muha Meds THCA Melted Diamonds 3.5g Disposable (BL,Muha Meds,,Muha Meds,1,ECH,,14.00,1
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,713310635250,ECH,Cereal Labs Baked Blend Live Resin 3G Disposable (,Cereal Labs,,Cereal Labs,1,ECH,,13.50,3
1B,1/16/2026,Invoice,10074740,Distributor,Hoosier Wholesale Distributors,,,,US,,,,Other,OTP,N/A,,IL,713310635137,ECH,Cereal Labs Baked Blend Live Resin 3G Disposable (,Cereal Labs,,Cereal Labs,1,ECH,,13.50,5
